shoeNumber	shoeName	shoeUrl	shoePrice
244	Reebok Fast Flexweave	https://runrepeat.com/reebok-fast-flexweave	32
245	Asics Gel Scram 4	https://runrepeat.com/asics-gel-scram-4	45
246	Adidas Adizero Sub 2	https://runrepeat.com/adidas-adizero-sub-2	90
247	Asics Metarun	https://runrepeat.com/asics-metarun	237
248	Merrell Agility Synthesis Flex	https://runrepeat.com/merrell-agility-synthesis-flex	82
249	Nike Revolution 3	https://runrepeat.com/nike-revolution-3	45
250	Adidas Terrex Swift R GTX	https://runrepeat.com/adidas-terrex-swift-r-gtx	115
251	Altra Superior 3.5	https://runrepeat.com/altra-superior-35	65
252	Asics Gel Fujirado	https://runrepeat.com/asics-gel-fujirado	70
253	La Sportiva Akasha	https://runrepeat.com/la-sportiva-akasha	83
254	Under Armour Charged Bandit 4	https://runrepeat.com/under-armour-charged-bandit-4	28
255	Asics Amplica	https://runrepeat.com/asics-amplica	30
256	Adidas Supernova ST	https://runrepeat.com/adidas-supernova-st	52
257	Adidas Supernova GTX	https://runrepeat.com/adidas-supernova-gtx	80
258	Vivobarefoot Stealth II	https://runrepeat.com/vivobarefoot-stealth-ii	146
259	New Balance Fresh Foam Vongo	https://runrepeat.com/new-balance-fresh-foam-vongo	75
260	Nike Air Zoom Vomero 12	https://runrepeat.com/nike-air-zoom-vomero-12	75
261	Reebok Speedlux 3.0	https://runrepeat.com/reebok-speedlux-30	25
262	On Cloudventure	https://runrepeat.com/on-cloudventure	100
263	Adidas Galaxy Trail	https://runrepeat.com/adidas-galaxy-trail	39
264	Adidas Energy Cloud 2	https://runrepeat.com/adidas-energy-cloud-2	40
265	Adidas Terrex Agravic GTX	https://runrepeat.com/adidas-terrex-agravic-gtx	66
266	Asics Gel Kayano 23	https://runrepeat.com/asics-gel-kayano-23	75
267	Asics FuzeX Lyte 2	https://runrepeat.com/asics-fuzex-lyte-2	55
268	Inov-8 Mudclaw 300	https://runrepeat.com/inov-8-mudclaw-300	109
269	Asics Gel DS Trainer 22	https://runrepeat.com/asics-gel-ds-trainer-22	54
270	Nike Air Max 2016	https://runrepeat.com/nike-air-max	120
271	Jordan 88 Racer	https://runrepeat.com/jordan-88-racer	60
272	New Balance Fresh Foam Lazr Hyposkin	https://runrepeat.com/new-balance-fresh-foam-lazr-hyposkin	36
273	Salomon Sonic RA Pro	https://runrepeat.com/salomon-sonic-ra-pro	50
274	Saucony Zealot ISO 3	https://runrepeat.com/saucony-zealot-iso-3	48
275	Asics Gel DS Trainer 24	https://runrepeat.com/asics-gel-ds-trainer-24	108
276	Mizuno Wave Catalyst 2	https://runrepeat.com/mizuno-wave-catalyst-2	62
277	Mizuno Wave Prophecy 7	https://runrepeat.com/mizuno-wave-prophecy-7	105
278	Adidas Terrex CMTK GTX	https://runrepeat.com/adidas-terrex-cmtk-gtx	66
279	Altra Lone Peak 3.5	https://runrepeat.com/altra-lone-peak-35	68
280	Hoka One One Tracer 2	https://runrepeat.com/hoka-one-one-tracer-2	123
281	Adidas Duramo 8	https://runrepeat.com/adidas-duramo-8	35
282	Nike Free RN Commuter 2018	https://runrepeat.com/nike-free-rn-commuter-2018	75
283	Saucony Triumph ISO 2	https://runrepeat.com/saucony-triumph-iso	76
284	Merrell All Out Crush 2	https://runrepeat.com/merrell-all-out-crush-2	50
285	Asics Gel Vanisher	https://runrepeat.com/asics-gel-vanisher	40
286	Asics Patriot 8	https://runrepeat.com/asics-patriot-8	55
287	Asics Gel Flux 5	https://runrepeat.com/asics-gel-flux-5	30
288	Under Armour SpeedForm Velociti	https://runrepeat.com/under-armour-speedform-velociti	46
289	Inov-8 Roclite 305	https://runrepeat.com/inov-8-roclite-305	74
290	Asics Gel Quantum 180 3	https://runrepeat.com/asics-gel-quantum-180-3	60
291	Saucony Cohesion 10	https://runrepeat.com/saucony-cohesion-10	30
292	Brooks Revel 2	https://runrepeat.com/brooks-revel-2	80
